id;fecha;status;precio_total;metodo_de_pago;referencia;cliente_id
1;2024-02-15T06:34:32;CANCELADO;82419;CUPON;Comunicaciones Director Administrador;1
2;2024-02-15T08:34:15;RECHAZADO;44230;EFECTIVO;THX Escalinata synthesize;2
3;2024-02-15T14:18:47;RECHAZADO;95691;EFECTIVO;Rua bluetooth morph;1
4;2024-02-15T15:45:30;COMPLETO;57136;CUPON;Salchichas;2
5;2024-02-14T21:31:40;CANCELADO;86744;EFECTIVO;Lari monitor Contabilidad;2
6;2024-02-14T20:59:20;CANCELADO;95100;CUPON;Colegio;1
7;2024-02-15T06:27:42;RECHAZADO;60396;CUPON;Cantabria Amarillo;2
8;2024-02-14T18:50:01;CANCELADO;44131;CUPON;óptima;2
9;2024-02-15T05:12:50;CANCELADO;16728;CUPON;didactica primary;2
10;2024-02-15T03:12:13;PAGADO;64242;CUPON;Kwacha Avanzado;2
