id;job_title;min_salary;max_salary
1;Supervisor de Grupo Interno;29504;11212
2;Administrador de Programa Futuro;27816;16495
3;Representante de Programa International;12904;17492
4;Administrador de Configuración Futuro;12501;9964
5;Coordinador de Cuentas Jefe;31428;17957
6;Oficial de Normas Corporativo;7538;12962
7;Facilitador de Factores Cliente;6199;32192
8;Especialista de Integración Senior;16737;5676
9;Desarrollador de Interacciones Interno;2521;5029
10;Planificador de Cuentas Director;10078;4563
