id;start_date;end_date;language
1;2024-02-15T04:38:27;2024-02-14T22:57:28;ENGLISH
2;2024-02-15T11:22:30;2024-02-15T10:01:21;ENGLISH
3;2024-02-15T03:44:48;2024-02-15T21:47:31;FRENCH
4;2024-02-15T15:54:01;2024-02-15T01:57:36;SPANISH
5;2024-02-15T15:19:34;2024-02-14T22:47:55;SPANISH
6;2024-02-15T10:15:33;2024-02-15T15:58:49;SPANISH
7;2024-02-15T17:59:32;2024-02-15T14:47:13;ENGLISH
8;2024-02-15T04:37:28;2024-02-15T07:35:15;FRENCH
9;2024-02-15T01:11:00;2024-02-15T04:05:54;FRENCH
10;2024-02-15T20:32:14;2024-02-15T15:18:02;ENGLISH
