id;street_address;postal_code;city;state_province
1;paramecium jealously;faith triumphantly;Alcalá de Henares;querulous
2;blissfully ha;naturally;Huelva;off upbeat fen
3;circumstance;ha happy phooey;Vigo;acclimatize that aspirate
4;zowie beneath;liberty compassionate gripping;Ceuta;veg
5;variety;gripper;El Prat de LLobregat;chilly
6;closely usefully;charming owe;Rubí;gadzooks imitation bucket
7;subtle;remote pfft;Córdoba;angle
8;indeed daily unless;bony keenly assent;Reus;bruised illiterate
9;equatorial scallops;nicely tear;Guadalajara;bravely swiftly once
10;contrail now;offensively yum;La Línea de la Concepción;under or magnify
