id;nombre;description;precio;medida;image;image_content_type;producto_categoria_id
1;actitud;Dinánmico;81998;M;../fake-data/blob/hipster.png;image/png;1
2;Monte;Morado Fácil Yemen;14379;XL;../fake-data/blob/hipster.png;image/png;2
3;Ladrillo;SDD;19378;XL;../fake-data/blob/hipster.png;image/png;3
4;frictionless;reboot Liberian;54007;S;../fake-data/blob/hipster.png;image/png;4
5;Zapatos Datos;Pequeño;70235;M;../fake-data/blob/hipster.png;image/png;5
6;capacidad synthesize;portals Sum;20559;S;../fake-data/blob/hipster.png;image/png;6
7;Profundo didactica Costa;Innovador objetos invoice;6887;L;../fake-data/blob/hipster.png;image/png;7
8;Sorprendente Ladrillo;holística withdrawal Navarra;54847;XXL;../fake-data/blob/hipster.png;image/png;8
9;de;circuito;3519;S;../fake-data/blob/hipster.png;image/png;9
10;quantifying state Sabroso;circuit Cine;4338;XXL;../fake-data/blob/hipster.png;image/png;10
